n_processes,n_matrix,iteration,checksym_time,transpose_time
1,16,1,2.52724e-05,4.50611e-05
1,16,2,2.67029e-05,5.14984e-05
1,16,3,2.36034e-05,5.43594e-05
1,16,4,2.38419e-05,4.64916e-05
1,16,5,4.31538e-05,4.33922e-05
1,16,6,2.5034e-05,4.72069e-05
1,16,7,2.69413e-05,5.17368e-05
1,16,8,2.55108e-05,4.8399e-05
1,16,9,2.67029e-05,5.10216e-05
1,16,10,2.45571e-05,4.76837e-05
1,16,11,2.69413e-05,5.05447e-05
1,16,12,2.67029e-05,5.19753e-05
1,16,13,2.26498e-05,4.22001e-05
1,16,14,2.38419e-05,4.45843e-05
1,16,15,2.64645e-05,5.07832e-05
1,16,16,2.14577e-05,4.05312e-05
1,16,17,2.40803e-05,4.45843e-05
1,16,18,2.28882e-05,4.31538e-05
1,16,19,2.3365e-05,4.45843e-05
1,16,20,2.0504e-05,4.3869e-05
1,16,21,2.40803e-05,4.45843e-05
1,16,22,2.55108e-05,4.86374e-05
1,16,23,2.24113e-05,4.29153e-05
1,16,24,2.47955e-05,4.8399e-05
1,16,25,2.38419e-05,4.55379e-05
1,16,26,2.67029e-05,5.07832e-05
1,16,27,2.74181e-05,4.50611e-05
1,16,28,2.26498e-05,3.91006e-05
1,16,29,2.40803e-05,4.48227e-05
1,16,30,2.6226e-05,5.05447e-05
1,16,31,2.3365e-05,4.50611e-05
1,16,32,2.24113e-05,4.19617e-05
1,16,33,2.28882e-05,4.22001e-05
1,16,34,2.64645e-05,5.00679e-05
1,16,35,2.24113e-05,4.19617e-05
1,16,36,2.47955e-05,4.69685e-05
1,16,37,2.5034e-05,4.74453e-05
1,16,38,2.36034e-05,4.43459e-05
1,16,39,2.16961e-05,3.98159e-05
1,16,40,2.38419e-05,4.45843e-05
1,16,41,2.3365e-05,4.43459e-05
1,16,42,2.14577e-05,4.02927e-05
1,16,43,2.40803e-05,5.05447e-05
1,16,44,2.5034e-05,4.74453e-05
1,16,45,2.24113e-05,4.17233e-05
1,16,46,2.40803e-05,4.48227e-05
1,16,47,2.52724e-05,4.79221e-05
1,16,48,2.16961e-05,4.00543e-05
1,16,49,2.67029e-05,5.07832e-05
1,16,50,2.28882e-05,4.22001e-05
1,16,51,2.69413e-05,5.05447e-05
1,16,52,2.26498e-05,4.22001e-05
1,16,53,2.67029e-05,5.05447e-05
1,16,54,2.26498e-05,4.29153e-05
1,16,55,2.90871e-05,5.45979e-05
1,16,56,2.38419e-05,4.45843e-05
1,16,57,2.16961e-05,4.55379e-05
1,16,58,2.69413e-05,5.07832e-05
1,16,59,2.26498e-05,4.19617e-05
1,16,60,2.64645e-05,5.10216e-05
1,16,61,2.16961e-05,3.95775e-05
1,16,62,2.67029e-05,5.126e-05
1,16,63,2.26498e-05,4.31538e-05
1,16,64,2.28882e-05,4.76837e-05
1,16,65,2.36034e-05,4.48227e-05
1,16,66,2.26498e-05,4.17233e-05
1,16,67,2.55108e-05,4.81606e-05
1,16,68,2.14577e-05,3.95775e-05
1,16,69,2.36034e-05,4.48227e-05
1,16,70,2.24113e-05,4.22001e-05
1,16,71,2.69413e-05,5.05447e-05
1,16,72,2.67029e-05,3.60012e-05
1,16,73,2.26498e-05,4.22001e-05
