n_threads,n_matrix,iteration,checksym_time,transpose_time
1,16,1,4.1864e-05, 4.2264e-05
1,16,2,3.7117e-05, 3.9494e-05
1,16,3,3.6259e-05, 4.0094e-05
1,16,4,3.657e-05, 4.0601e-05
1,16,5,3.7108e-05, 4.0723e-05
1,16,6,3.7212e-05, 4.02e-05
1,16,7,3.7992e-05, 4.146e-05
1,16,8,3.8068e-05, 4.0234e-05
1,16,9,3.7738e-05, 4.0504e-05
1,16,10,3.7501e-05, 3.9526e-05
1,16,11,3.7713e-05, 4.2094e-05
1,16,12,3.8623e-05, 4.0082e-05
1,16,13,3.8174e-05, 3.984e-05
1,16,14,3.4861e-05, 3.806e-05
1,16,15,4.8772e-05, 4.0522e-05
1,16,16,3.7481e-05, 4.022e-05
1,16,17,3.7713e-05, 4.0894e-05
1,16,18,3.7329e-05, 3.9926e-05
1,16,19,3.7321e-05, 4.0712e-05
1,16,20,3.7938e-05, 3.9941e-05
1,16,21,3.7906e-05, 3.9907e-05
1,16,22,3.7485e-05, 3.9933e-05
1,16,23,3.7569e-05, 4.0581e-05
1,16,24,3.7738e-05, 4.0525e-05
1,16,25,3.7646e-05, 4.0205e-05
1,16,26,3.7381e-05, 4.3033e-05
1,16,27,3.7841e-05, 3.9595e-05
1,16,28,3.7291e-05, 3.9967e-05
1,16,29,3.7417e-05, 4.0463e-05
1,16,30,3.7751e-05, 3.9858e-05
1,16,31,3.7473e-05, 4.0044e-05
1,16,32,3.8049e-05, 3.9567e-05
1,16,33,3.7444e-05, 4.0373e-05
1,16,34,3.6977e-05, 3.7717e-05
1,16,35,3.7892e-05, 4.0235e-05
1,16,36,3.7569e-05, 3.993e-05
1,16,37,3.7822e-05, 3.3746e-05
1,16,38,3.8193e-05, 4.1055e-05
1,16,39,3.7347e-05, 3.993e-05
1,16,40,3.8098e-05, 3.985e-05
1,16,41,3.7313e-05, 4.0891e-05
1,16,42,3.8151e-05, 4.0129e-05
1,16,43,3.8117e-05, 3.9961e-05
1,16,44,3.7684e-05, 4.019e-05
1,16,45,3.7821e-05, 3.9977e-05
1,16,46,3.7806e-05, 3.9512e-05
1,16,47,3.7708e-05, 4.0214e-05
1,16,48,3.7821e-05, 4.0766e-05
1,16,49,3.792e-05, 3.9768e-05
1,16,50,3.7692e-05, 4.038e-05
1,16,51,3.7437e-05, 4.9157e-05
1,16,52,3.4294e-05, 3.6075e-05
1,16,53,3.7371e-05, 3.9861e-05
1,16,54,3.763e-05, 4.0032e-05
1,16,55,3.7626e-05, 4.0444e-05
1,16,56,3.7156e-05, 3.98e-05
1,16,57,3.7344e-05, 4.0386e-05
1,16,58,3.7495e-05, 4.0929e-05
1,16,59,3.7371e-05, 4.0156e-05
1,16,60,3.7193e-05, 4.0108e-05
1,16,61,3.7978e-05, 4.0097e-05
1,16,62,3.7905e-05, 4.0087e-05
1,16,63,3.8049e-05, 4.0203e-05
1,16,64,3.7942e-05, 4.0566e-05
1,16,65,3.7346e-05, 5.1993e-05
1,16,66,3.7367e-05, 3.959e-05
1,16,67,3.4149e-05, 3.6902e-05
1,16,68,3.7293e-05, 4.0213e-05
1,16,69,3.7167e-05, 3.9542e-05
1,16,70,3.7669e-05, 4.0027e-05
1,16,71,3.7632e-05, 5.0834e-05
1,16,72,3.7601e-05, 4.0687e-05
1,16,73,3.6828e-05, 4.0071e-05
1,16,74,3.7821e-05, 4.0316e-05
1,16,75,3.7726e-05, 4.0285e-05
1,16,76,3.7618e-05, 4.0095e-05
1,16,77,3.7222e-05, 3.3583e-05
1,16,78,3.7541e-05, 4.0504e-05
1,16,79,3.8104e-05, 4.0596e-05
1,16,80,3.8001e-05, 3.9876e-05
1,16,81,3.7445e-05, 4.0129e-05
1,16,82,3.6977e-05, 3.9866e-05
1,16,83,3.4043e-05, 3.6482e-05
1,16,84,3.7469e-05, 5.275e-05
1,16,85,3.7388e-05, 4.9108e-05
1,16,86,3.7999e-05, 4.0013e-05
1,16,87,3.7896e-05, 5.4193e-05
1,16,88,3.7178e-05, 3.9992e-05
1,16,89,3.7622e-05, 4.0394e-05
1,16,90,3.4452e-05, 3.6666e-05
1,16,91,3.7249e-05, 4.0504e-05
1,16,92,3.7469e-05, 3.9999e-05
1,16,93,3.7547e-05, 4.032e-05
1,16,94,3.7308e-05, 4.0465e-05
1,16,95,3.7768e-05, 4.1146e-05
1,16,96,3.4332e-05, 4.5751e-05
1,16,97,3.7546e-05, 3.98e-05
1,16,98,3.7892e-05, 4.0645e-05
1,16,99,3.8121e-05, 4.0593e-05
1,16,100,3.7583e-05, 3.9618e-05
2,16,1,0.000178666, 6.1562e-05
2,16,2,0.000216883, 6.2703e-05
2,16,3,0.000259385, 6.1125e-05
2,16,4,0.000209342, 7.0061e-05
2,16,5,0.000191596, 6.5055e-05
2,16,6,0.000146702, 7.0578e-05
2,16,7,0.000176211, 7.1854e-05
2,16,8,0.000197019, 9.0599e-05
2,16,9,0.00015003, 4.8686e-05
2,16,10,0.00021064, 6.027e-05
2,16,11,0.000162115, 7.6779e-05
2,16,12,0.000210819, 7.1294e-05
2,16,13,0.000151514, 8.7368e-05
2,16,14,0.000198154, 5.7652e-05
2,16,15,0.000196757, 6.2625e-05
2,16,16,0.000199298, 7.542e-05
2,16,17,0.000149598, 7.375e-05
2,16,18,0.000186911, 6.4927e-05
2,16,19,0.000237568, 6.1495e-05
2,16,20,0.000260496, 7.906e-05
2,16,21,0.000204557, 6.1451e-05
2,16,22,0.000149556, 6.1116e-05
2,16,23,0.000198426, 9.6232e-05
2,16,24,0.000208939, 0.000104044
