n_matrix,iteration,checksym_time,transpose_time
16,1,1.749e-06,6.225e-06
16,2,1.918e-06,6.289e-06
16,3,1.803e-06,6.263e-06
16,4,1.657e-06,6.218e-06
16,5,1.925e-06,6.183e-06
16,6,1.755e-06,6.379e-06
16,7,1.848e-06,6.519e-06
16,8,1.752e-06,6.542e-06
16,9,1.77e-06,6.4e-06
16,10,1.912e-06,6.265e-06
16,11,1.693e-06,6.193e-06
16,12,1.676e-06,6.187e-06
16,13,1.829e-06,6.359e-06
16,14,1.765e-06,6.254e-06
16,15,1.697e-06,6.486e-06
16,16,1.627e-06,1.3788e-05
16,17,1.758e-06,6.514e-06
16,18,1.739e-06,1.7697e-05
16,19,1.668e-06,6.584e-06
16,20,1.875e-06,6.344e-06
16,21,1.704e-06,6.136e-06
16,22,1.721e-06,6.595e-06
16,23,1.704e-06,6.152e-06
16,24,1.799e-06,6.388e-06
16,25,1.799e-06,6.456e-06
16,26,1.754e-06,6.486e-06
16,27,1.698e-06,6.306e-06
16,28,1.788e-06,6.336e-06
16,29,1.74e-06,6.282e-06
16,30,1.741e-06,6.351e-06
16,31,1.682e-06,6.432e-06
16,32,1.839e-06,6.224e-06
16,33,1.739e-06,6.437e-06
16,34,1.835e-06,6.451e-06
16,35,1.657e-06,6.116e-06
16,36,1.678e-06,6.097e-06
16,37,1.733e-06,6.256e-06
16,38,1.885e-06,6.349e-06
16,39,1.669e-06,6.147e-06
16,40,1.881e-06,6.652e-06
16,41,1.815e-06,6.317e-06
16,42,1.78e-06,6.594e-06
16,43,1.833e-06,6.208e-06
16,44,1.631e-06,6.523e-06
16,45,1.87e-06,6.266e-06
16,46,1.719e-06,6.388e-06
16,47,1.69e-06,6.262e-06
16,48,1.672e-06,6.373e-06
16,49,1.651e-06,6.152e-06
16,50,1.676e-06,6.27e-06
16,51,1.652e-06,6.193e-06
16,52,1.581e-06,5.869e-06
16,53,1.814e-06,6.217e-06
16,54,1.808e-06,6.416e-06
16,55,1.725e-06,6.265e-06
16,56,1.774e-06,6.403e-06
16,57,1.671e-06,6.204e-06
16,58,1.717e-06,6.208e-06
16,59,1.736e-06,6.315e-06
16,60,1.689e-06,6.36e-06
16,61,1.736e-06,6.306e-06
16,62,1.96e-06,6.322e-06
16,63,1.86e-06,6.133e-06
16,64,1.676e-06,6.26e-06
16,65,1.672e-06,6.214e-06
16,66,1.88e-06,6.256e-06
16,67,1.786e-06,6.231e-06
16,68,1.614e-06,5.843e-06
16,69,1.681e-06,6.199e-06
16,70,1.643e-06,6.182e-06
16,71,1.706e-06,6.156e-06
16,72,1.648e-06,6.172e-06
16,73,1.621e-06,6.284e-06
16,74,1.643e-06,6.116e-06
16,75,1.719e-06,6.08e-06
16,76,1.653e-06,6.263e-06
16,77,1.705e-06,6.191e-06
16,78,1.859e-06,6.362e-06
16,79,1.681e-06,6.25e-06
16,80,1.588e-06,6.192e-06
16,81,1.605e-06,6.177e-06
16,82,1.688e-06,6.256e-06
16,83,1.791e-06,6.049e-06
16,84,1.72e-06,6.233e-06
16,85,1.717e-06,6.242e-06
16,86,1.662e-06,6.541e-06
16,87,1.659e-06,6.421e-06
16,88,1.668e-06,6.138e-06
16,89,1.703e-06,6.281e-06
16,90,1.718e-06,6.317e-06
16,91,1.745e-06,6.246e-06
16,92,1.779e-06,6.487e-06
16,93,1.677e-06,6.348e-06
16,94,1.717e-06,6.613e-06
16,95,2.036e-06,6.337e-06
16,96,1.701e-06,1.6874e-05
16,97,1.723e-06,6.224e-06
16,98,1.691e-06,6.055e-06
16,99,1.732e-06,6.379e-06
16,100,1.689e-06,6.213e-06
32,1,5.875e-06,2.0916e-05
32,2,5.947e-06,2.2186e-05
32,3,5.839e-06,3.3768e-05
32,4,6.057e-06,2.3942e-05
32,5,5.963e-06,2.2396e-05
32,6,6.156e-06,2.1802e-05
32,7,6.078e-06,2.183e-05
32,8,5.74e-06,2.4168e-05
32,9,5.82e-06,1.9767e-05
32,10,5.727e-06,2.2594e-05
32,11,5.906e-06,2.1076e-05
32,12,6.103e-06,2.0716e-05
32,13,5.768e-06,2.0663e-05
32,14,5.985e-06,2.1718e-05
32,15,5.906e-06,2.0122e-05
32,16,6.332e-06,2.2102e-05
32,17,5.913e-06,2.1732e-05
32,18,5.797e-06,2.1502e-05
32,19,1.6577e-05,2.1632e-05
32,20,5.722e-06,2.0453e-05
32,21,5.878e-06,2.759e-05
32,22,5.782e-06,2.3092e-05
32,23,5.824e-06,2.4867e-05
32,24,6.045e-06,2.4476e-05
32,25,6.037e-06,2.3826e-05
32,26,5.475e-06,1.8704e-05
32,27,5.97e-06,2.3509e-05
32,28,6.2e-06,2.3669e-05
32,29,6.165e-06,2.3894e-05
32,30,5.806e-06,2.1207e-05
32,31,5.9e-06,2.1918e-05
32,32,5.79e-06,2.1236e-05
32,33,5.924e-06,2.167e-05
32,34,6.008e-06,1.9518e-05
32,35,6.09e-06,2.1222e-05
32,36,5.802e-06,2.015e-05
32,37,6.119e-06,2.1641e-05
32,38,6.15e-06,2.1744e-05
32,39,6.015e-06,2.232e-05
32,40,5.806e-06,2.3131e-05
32,41,5.785e-06,2.8644e-05
32,42,5.745e-06,2.169e-05
32,43,5.748e-06,2.1119e-05
32,44,5.827e-06,2.1312e-05
32,45,5.916e-06,2.0653e-05
32,46,5.965e-06,2.3727e-05
32,47,6.227e-06,2.1652e-05
32,48,6.047e-06,2.0167e-05
32,49,6.104e-06,2.1323e-05
32,50,5.792e-06,2.1335e-05
32,51,6.003e-06,2.0402e-05
32,52,5.854e-06,2.23e-05
32,53,5.825e-06,2.303e-05
32,54,5.734e-06,2.2823e-05
32,55,6.189e-06,2.5053e-05
32,56,5.8e-06,2.2263e-05
32,57,6.008e-06,2.1382e-05
32,58,5.987e-06,2.0765e-05
32,59,6.097e-06,2.2718e-05
32,60,5.972e-06,2.2395e-05
32,61,6.001e-06,2.1718e-05
32,62,5.729e-06,2.2187e-05
32,63,5.914e-06,2.0432e-05
32,64,6.04e-06,2.1541e-05
32,65,5.784e-06,2.1041e-05
32,66,5.842e-06,2.2592e-05
32,67,5.874e-06,2.1524e-05
32,68,6.034e-06,3.526e-05
32,69,5.823e-06,2.3951e-05
32,70,5.793e-06,1.9945e-05
32,71,5.831e-06,2.4871e-05
32,72,5.825e-06,2.2387e-05
32,73,5.889e-06,2.285e-05
32,74,5.991e-06,1.9714e-05
32,75,5.972e-06,3.0699e-05
32,76,6.23e-06,2.1993e-05
32,77,6.161e-06,2.5517e-05
32,78,6.051e-06,2.1239e-05
32,79,5.881e-06,2.2347e-05
32,80,5.879e-06,2.3384e-05
32,81,5.947e-06,2.1414e-05
32,82,6.155e-06,2.4183e-05
32,83,5.761e-06,2.032e-05
32,84,5.969e-06,2.3689e-05
32,85,5.987e-06,2.355e-05
32,86,5.84e-06,3.3699e-05
32,87,6.172e-06,2.1783e-05
32,88,6.473e-06,3.6686e-05
32,89,6.16e-06,3.7819e-05
32,90,6.33e-06,2.1906e-05
32,91,5.876e-06,2.1316e-05
32,92,5.753e-06,1.9123e-05
32,93,5.783e-06,2.4285e-05
32,94,6.015e-06,2.4081e-05
32,95,5.974e-06,2.2045e-05
32,96,6.097e-06,2.2484e-05
32,97,5.782e-06,2.0463e-05
32,98,5.779e-06,1.9691e-05
32,99,5.954e-06,2.0407e-05
32,100,6.059e-06,2.062e-05
64,1,2.2032e-05,7.1761e-05
64,2,2.1905e-05,6.909e-05
64,3,2.2613e-05,7.0147e-05
64,4,2.2005e-05,6.9393e-05
64,5,2.2683e-05,7.118e-05
64,6,2.2163e-05,6.8898e-05
64,7,2.2701e-05,0.000289762
64,8,2.2031e-05,7.5429e-05
64,9,2.1911e-05,7.8631e-05
64,10,2.1905e-05,7.0428e-05
64,11,2.2299e-05,7.0653e-05
64,12,2.2266e-05,8.0658e-05
64,13,2.1882e-05,6.8964e-05
64,14,2.1927e-05,7.0511e-05
64,15,2.2755e-05,6.5914e-05
64,16,2.204e-05,6.8984e-05
64,17,2.2169e-05,6.9123e-05
64,18,2.2357e-05,6.8981e-05
64,19,2.1878e-05,7.0537e-05
64,20,2.1844e-05,7.2309e-05
64,21,2.2034e-05,7.2012e-05
64,22,2.2033e-05,7.3225e-05
64,23,2.2004e-05,7.0994e-05
64,24,2.2151e-05,7.2623e-05
64,25,2.199e-05,8.1364e-05
64,26,2.1947e-05,6.9177e-05
64,27,2.1961e-05,7.0763e-05
64,28,2.294e-05,8.677e-05
64,29,2.1779e-05,7.3668e-05
64,30,2.19e-05,7.2114e-05
64,31,2.2102e-05,7.279e-05
64,32,2.182e-05,7.189e-05
64,33,2.0379e-05,6.692e-05
64,34,2.1935e-05,6.8045e-05
64,35,2.2881e-05,6.9584e-05
64,36,2.2035e-05,8.4916e-05
64,37,2.1765e-05,6.8091e-05
64,38,2.183e-05,7.0086e-05
64,39,2.1917e-05,7.0077e-05
64,40,2.1975e-05,7.0955e-05
64,41,2.1981e-05,6.8894e-05
64,42,2.1895e-05,6.8823e-05
64,43,2.1724e-05,7.1884e-05
64,44,2.1843e-05,7.2395e-05
64,45,3.2256e-05,7.6249e-05
64,46,2.1921e-05,7.2824e-05
64,47,2.1208e-05,7.1791e-05
64,48,2.2941e-05,6.6336e-05
64,49,2.2024e-05,6.3589e-05
64,50,2.1874e-05,6.338e-05
64,51,2.1808e-05,6.4722e-05
64,52,2.1875e-05,6.9677e-05
64,53,2.1787e-05,7.2601e-05
64,54,2.2007e-05,7.4802e-05
64,55,2.196e-05,6.8573e-05
64,56,2.185e-05,7.0536e-05
64,57,2.2316e-05,6.511e-05
64,58,2.1996e-05,6.8678e-05
64,59,2.2627e-05,6.6955e-05
64,60,2.2859e-05,6.6023e-05
64,61,2.2497e-05,6.6522e-05
64,62,2.182e-05,7.5281e-05
64,63,2.2811e-05,7.9477e-05
64,64,2.2798e-05,6.7814e-05
64,65,2.1737e-05,7.1248e-05
64,66,2.2004e-05,7.3191e-05
64,67,2.1995e-05,7.236e-05
64,68,2.1844e-05,7.628e-05
64,69,2.1894e-05,7.4875e-05
64,70,2.0597e-05,5.9633e-05
64,71,2.1961e-05,6.544e-05
64,72,2.2955e-05,7.2934e-05
64,73,2.2013e-05,6.3724e-05
64,74,2.3158e-05,6.6683e-05
64,75,2.319e-05,6.6667e-05
64,76,2.2021e-05,6.4768e-05
64,77,2.2623e-05,6.5958e-05
64,78,2.2824e-05,6.6253e-05
64,79,2.1825e-05,7.6589e-05
64,80,2.2419e-05,6.4625e-05
64,81,2.2131e-05,6.4185e-05
64,82,2.2257e-05,6.3697e-05
64,83,2.1909e-05,6.9854e-05
64,84,2.1883e-05,7.0349e-05
64,85,2.1775e-05,7.2911e-05
64,86,2.2306e-05,7.2204e-05
64,87,2.2276e-05,7.1644e-05
64,88,2.2688e-05,8.1303e-05
64,89,2.185e-05,6.9633e-05
64,90,2.2116e-05,6.7977e-05
64,91,2.2235e-05,6.8097e-05
64,92,2.2694e-05,7.6268e-05
64,93,2.212e-05,6.923e-05
64,94,2.1881e-05,6.9197e-05
64,95,3.21e-05,6.9546e-05
64,96,3.7001e-05,6.5202e-05
64,97,2.2162e-05,6.9471e-05
64,98,2.1867e-05,6.8965e-05
64,99,2.2616e-05,7.3569e-05
64,100,2.1879e-05,6.9272e-05
128,1,8.5501e-05,0.000258165
128,2,9.0379e-05,0.00025457
128,3,8.599e-05,0.000257273
128,4,8.5924e-05,0.000254295
128,5,8.5892e-05,0.000253257
128,6,8.588e-05,0.000254957
128,7,8.5794e-05,0.000250926
128,8,9.7236e-05,0.000249223
128,9,8.6127e-05,0.000268612
128,10,8.6567e-05,0.000260567
128,11,8.6066e-05,0.000243771
128,12,9.3523e-05,0.000249738
128,13,0.000130085,0.000245973
128,14,8.557e-05,0.000256617
128,15,8.5804e-05,0.000484944
128,16,8.5918e-05,0.000258292
128,17,8.6433e-05,0.000252281
128,18,9.4118e-05,0.00025817
128,19,8.5288e-05,0.000422858
128,20,9.9501e-05,0.000252903
128,21,8.5859e-05,0.000253308
128,22,8.5995e-05,0.000247229
128,23,8.5749e-05,0.000257932
128,24,8.5886e-05,0.000238739
128,25,8.6405e-05,0.000239523
128,26,8.6089e-05,0.000241403
128,27,8.8901e-05,0.000249885
128,28,8.5388e-05,0.000243923
128,29,9.5384e-05,0.000253147
128,30,8.5573e-05,0.000256647
128,31,8.5956e-05,0.000507449
128,32,8.5536e-05,0.000268795
128,33,8.5683e-05,0.000260885
128,34,8.5606e-05,0.000261957
128,35,9.367e-05,0.000447892
128,36,8.638e-05,0.000617177
128,37,8.0452e-05,0.000386554
128,38,8.5269e-05,0.000224113
128,39,8.6133e-05,0.000240787
128,40,8.5706e-05,0.000252435
128,41,8.6157e-05,0.000246307
128,42,8.5831e-05,0.000242628
128,43,8.5388e-05,0.000242623
128,44,8.5438e-05,0.000243417
128,45,9.5901e-05,0.0002443
128,46,8.5287e-05,0.000241538
128,47,8.9177e-05,0.000264136
128,48,8.8843e-05,0.000264929
128,49,8.5617e-05,0.000256128
128,50,8.5587e-05,0.000266055
128,51,9.3646e-05,0.00026136
128,52,8.5228e-05,0.000264456
128,53,8.5645e-05,0.000252478
128,54,8.88e-05,0.00026055
128,55,8.8937e-05,0.000260765
128,56,8.5937e-05,0.000245085
128,57,8.5447e-05,0.000241579
128,58,8.5862e-05,0.000241087
128,59,8.5627e-05,0.000263293
128,60,8.5842e-05,0.00026232
128,61,8.5836e-05,0.000256667
128,62,8.8674e-05,0.000279531
128,63,8.5592e-05,0.000257341
128,64,9.0319e-05,0.00023909
128,65,8.5745e-05,0.000290182
128,66,8.577e-05,0.000238702
128,67,9.4104e-05,0.000254695
128,68,8.534e-05,0.000255073
128,69,8.5629e-05,0.000245171
